userId,bookId,rating,title
277203,1,9.0,The Cat in the Hat
277427,2,10.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
277427,3,9.0,One for the Money (Stephanie Plum Novels (Paperback))
277427,4,8.0,Me Talk Pretty One Day
277427,5,10.0,The Murder Book
277427,6,9.0,The Rainmaker
277427,7,9.0,Into the Wild
277427,8,8.0,The Da Vinci Code
277427,9,9.0,Lord of the Flies
277427,10,8.0,The Cardinal of the Kremlin (Jack Ryan Novels)
277427,11,7.0,The Partner
277427,12,10.0,Saving Faith
277427,13,6.0,The Virgin Blue
277427,15,9.0,C Is for Corpse (Kinsey Millhone Mysteries (Paperback))
277427,16,9.0,A Year in Provence
277427,17,9.0,Pay It Forward
277427,18,10.0,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes
277478,19,8.0,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul)
277523,20,10.0,2nd Chance
277523,21,10.0,The King of Torts
277523,22,10.0,The Last Juror
277523,23,10.0,The King of Torts
277523,24,10.0,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))
277639,25,6.0,Mystic River
277639,26,5.0,Hornet's Nest
277639,27,8.0,A Time to Kill
277639,28,9.0,The Pelican Brief
277639,29,7.0,Fear Nothing
277965,30,5.0,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover))
277965,31,10.0,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson"
277965,32,7.0,Black Notice
277965,34,10.0,ANGELA'S ASHES
277965,35,7.0,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series)
278026,3,8.0,One for the Money (Stephanie Plum Novels (Paperback))
278026,25,5.0,Mystic River
278026,36,6.0,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback))
278026,37,5.0,I Is for Innocent
278026,38,8.0,Carolina Moon
278026,39,8.0,Two for the Dough
278137,40,7.0,Interview with the Vampire
278137,41,8.0,Island of the Blue Dolphins (Laurel Leaf Books)
278137,42,7.0,Message in a Bottle
278137,43,8.0,The Joy Luck Club
278137,24,9.0,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))
278188,44,8.0,Eden Close
278188,45,7.0,Engaging The Enemy
278188,46,7.0,Irish Hearts
278188,47,4.0,Echoes
278188,48,8.0,One True Thing
278188,49,9.0,The Street Lawyer
278188,50,9.0,Absolute Power
278202,51,2.0,At Home in Mitford (The Mitford Years)
278202,52,3.0,Summer Sisters
278202,53,3.0,The Brethren
278202,54,8.0,On the Street Where You Live : A Novel
278221,55,9.0,One Door Away from Heaven
278221,43,9.0,The Joy Luck Club
278356,56,7.0,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)
278356,57,8.0,Harry Potter and the Chamber of Secrets (Book 2)
278356,58,10.0,Harry Potter and the Prisoner of Azkaban (Book 3)
278356,59,10.0,Harry Potter and the Goblet of Fire (Book 4)
278356,60,10.0,Harry Potter and the Order of the Phoenix (Book 5)
278418,61,8.0,The Phantom Tollbooth
278418,62,5.0,Hideaway
278418,63,7.0,Purity in Death
278418,38,8.0,Carolina Moon
278418,64,8.0,Dance upon the Air (Three Sisters Island Trilogy)
278582,65,7.0,Seven Up (A Stephanie Plum Novel)
278582,66,3.0,Full Speed (Janet Evanovich's Full Series)
278582,67,7.0,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)
278582,68,5.0,One for the Money (A Stephanie Plum Novel)
278582,69,10.0,The Mists of Avalon
278582,37,8.0,I Is for Innocent
278582,39,8.0,Two for the Dough
278582,70,10.0,The No. 1 Ladies' Detective Agency (Today Show Book Club #8)
278633,71,10.0,I Know This Much Is True
278633,72,7.0,Songs in Ordinary Time (Oprah's Book Club (Paperback))
278633,73,2.0,Bridget Jones's Diary
278633,74,7.0,Icy Sparks
278633,75,8.0,Lucky : A Memoir
278633,76,9.0,The Lovely Bones: A Novel
278633,77,7.0,"River, Cross My Heart"
278633,78,7.0,A Virtuous Woman (Oprah's Book Club (Paperback))
278633,79,9.0,Summer Sisters
278633,80,8.0,Suzanne's Diary for Nicholas
278633,81,6.0,A Thousand Acres (Ballantine Reader's Circle)
278633,82,5.0,"The Drawing of the Three (The Dark Tower, Book 2)"
278633,83,8.0,Jewel
278633,84,10.0,Christmas Box (Christmas Box Trilogy)
278633,85,8.0,The Pact: A Love Story
278843,86,9.0,Divine Secrets of the Ya-Ya Sisterhood : A Novel
278843,73,8.0,Bridget Jones's Diary
278843,74,9.0,Icy Sparks
278843,87,9.0,The Bonesetter's Daughter
278843,88,7.0,Circle of Friends
